"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"1251750659008933888","ysFbGLVYnlk4pWKliHempu605uOl0OngP8nSlgU8=","ysFbGLVYnlk4pWKliHempu605uOl0OngP8nSlgU8=","ysFbGLVYnlk4pWKliHempu605uOl0OngP8nSlgU8=","United Kingdom","A thoroughbred stud farm situated on the Curragh, Co. Kildare, home of Platinum Bloodstock. Captain Gerrard, Ramone and Xenobia.","","207","331","2020-01-11","en","en","RT @AnnCoulter: With cities and states facing huge budget deficits from shutdown, who should be laid off first?

Police
Fire Fighters
EMTs…","2020-04-19 05:53","Twitter Web App","","","","true","","1251693214899277825","absent","absent","0","0","0","0","[]","[]","['196168350']"
"1239532259209871360","aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=","aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=","aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=","United Kingdom","Husband, dad, law monkey, cricket nut, general geek","","211","265","2020-01-11","en","en","RT @carrieunderwood: Congrats, Carrie! #FindYourPath #fit52life #nytimesbestsellerslist -TeamCU https://t.co/MUUaxutarX","2020-03-16 12:41","Twitter Web App","","","","true","","1237886551343783936","absent","absent","0","0","0","0","['FindYourPath', 'fit52life', 'nytimesbestsellerslist']","[]","['386244525']"
"1239532222144827395","aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=","aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=","aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=","United Kingdom","Husband, dad, law monkey, cricket nut, general geek","","211","265","2020-01-11","en","en","RT @carrieunderwood: Check out my new music video for #DrinkingAlone here: https://t.co/UpBmR3pvFr directed by the amazingly talented #Rand…","2020-03-16 12:41","Twitter Web App","","","","true","","1197187908043755520","absent","absent","0","0","0","0","['DrinkingAlone']","['https://smarturl.it/DrinkingAlone']","['386244525']"
"1239523596957036544","LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=","LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=","LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=","","You are currently browsing the Twitter to discover the person you are about to contact","","207","279","2020-01-11","en","en","RT @selenagomez: 🙊 haha- thank you for having me!! https://t.co/CpoJQ6WPJB","2020-03-16 12:07","Twitter Web App","","","1236954885225996289","true","","1237128547652653056","absent","absent","0","0","0","0","[]","['https://twitter.com/kellyclarksontv/status/1236954885225996289']","['23375688']"
"1239523637629247489","LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=","LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=","LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=","","You are currently browsing the Twitter to discover the person you are about to contact","","207","279","2020-01-11","en","en","RT @selenagomez: Throwback to Feel Me on the Revival Tour! https://t.co/QhxNGbj9e0","2020-03-16 12:07","Twitter Web App","","","","true","","1235665706609344514","absent","absent","0","0","0","0","[]","[]","['23375688']"
"1232190804589973504","wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=","wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=","wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=","","unprofessional hype woman","","194","286","2020-01-11","en","en","RT @selenagomez: Guys, I’ve been working on this special project for two years and can officially say Rare Beauty is launching in @sephora…","2020-02-25 06:29","Twitter Web App","","","","true","","1224800422461722624","absent","absent","0","0","0","0","[]","[]","['23375688', '46186400']"
"1232543748036419584","wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=","wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=","wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=","","unprofessional hype woman","","194","286","2020-01-11","en","en","RT @selenagomez: Rare - A23 Edit is out Friday! 🦋 @alexander23lol https://t.co/6O4CkZNUHa https://t.co/X4Fdkc6NkR","2020-02-26 05:51","Twitter Web App","","","","true","","1232406755012829184","absent","absent","0","0","0","0","[]","['https://smarturl.it/presaveRareA23edit']","['23375688', '716359630']"
"1232573628363018240","uPJkYcaCU4NMKWv8qX3KVEge0TECkH5PBdoa6Pu45g=","uPJkYcaCU4NMKWv8qX3KVEge0TECkH5PBdoa6Pu45g=","uPJkYcaCU4NMKWv8qX3KVEge0TECkH5PBdoa6Pu45g=","UK","Small business supporter and adviser, marketer, connector, mum, wife and #Tootinglitterpick-er.","","200","247","2020-01-11","en","en","RT @selenagomez: Rare - A23 Edit is out Friday! 🦋 @alexander23lol https://t.co/6O4CkZNUHa https://t.co/X4Fdkc6NkR","2020-02-26 07:50","Twitter Web App","","","","true","","1232406755012829184","absent","absent","0","0","0","0","[]","['https://smarturl.it/presaveRareA23edit']","['23375688', '716359630']"
"1269881973880864768","CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=","CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=","CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=","London","I write columns for the Sunday Times and books for Penguin. Darling, a 21st century homage to The Pursuit of Love, out 2020.","","352","559","2020-01-25","en","en","@lllMGWVlll @CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=

 followe me pls.follow back","2020-06-08 06:40","Twitter Web App","1086980922023530497","1269857945858256901","","false","","","absent","absent","0","0","0","0","[]","[]","['1086980922023530497', 'CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=']"
"1270229092613468163","CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=","CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=","CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=","London","I write columns for the Sunday Times and books for Penguin. Darling, a 21st century homage to The Pursuit of Love, out 2020.","","352","559","2020-01-25","en","en","@chloebraelynn braelynn please followe me.I followed you.tnx","2020-06-09 05:39","Twitter Web App","1117726640740548608","1270205649440260097","","false","","","absent","absent","0","0","0","0","[]","[]","['1117726640740548608']"
