"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"725797198932271105","AXwpM5Ys2Ir50DCfQOCt2Z0OmHI4sZbSb5yQ4xO6zY=","AXwpM5Ys2Ir50DCfQOCt2Z0OmHI4sZbSb5yQ4xO6zY=","AXwpM5Ys2Ir50DCfQOCt2Z0OmHI4sZbSb5yQ4xO6zY=","Mexico, MD","Analizamos la corrupción a modo, elegimos los temas a conveniencia para buscar cómo atacar a los enemigos de @ClaudioXGG.","","12","20","2016-04-19","es","es","RT @La_Intuicion: #ViajarEnElTiempoPara darte cuenta que nunca realizaste tus sueños. ¡#SoyGodinPorque lo sé! https://t.co/3mkPxIcnqS","2016-04-28 21:21","TweetDeck","","","","True","VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=","7.257969996608676e+17","absent","absent","0","0","0","0","['ViajarEnElTiempoPara', 'SoyGodinPorque']","[]","['VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=']"
"725465403250466816","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","","","","22","32","2016-04-14","es","es","RT @miseleccionmx: ¿Existe alguien que no haya gritado con toda el alma este gol?

Sean serios...

#Faltan100Días https://t.co/Y1K7jzBSCd","2016-04-27 23:23","TweetDeck","","","","True","","7.254647278459167e+17","absent","absent","0","0","0","0","['Faltan100Días']","[]","['268361752']"
"725465404693340160","FW1LsxEKLrsL7ibwVZfMufwkwO1RHOPhddPgR3GehtQ=","FW1LsxEKLrsL7ibwVZfMufwkwO1RHOPhddPgR3GehtQ=","FW1LsxEKLrsL7ibwVZfMufwkwO1RHOPhddPgR3GehtQ=","Cancun","Sobreviviente del AH1N1. Premio nacional de periodismo de la universidad del MAYAB, 2007®. #Ecología #sustentabilidad","","21","25","2016-04-18","es","es","RT @miseleccionmx: ¿Existe alguien que no haya gritado con toda el alma este gol?

Sean serios...

#Faltan100Días https://t.co/Y1K7jzBSCd","2016-04-27 23:23","TweetDeck","","","","True","","7.254647278459167e+17","absent","absent","0","0","0","0","['Faltan100Días']","[]","['268361752']"
"725797198663811072","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","","","","22","32","2016-04-14","es","es","RT @La_Intuicion: #ViajarEnElTiempoPara darte cuenta que nunca realizaste tus sueños. ¡#SoyGodinPorque lo sé! https://t.co/3mkPxIcnqS","2016-04-28 21:21","TweetDeck","","","","True","VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=","7.257969996608676e+17","absent","absent","0","0","0","0","['ViajarEnElTiempoPara', 'SoyGodinPorque']","[]","['VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=']"
"725459458130735105","343UxILoFBK8etG7N8iSPxMC6DaRZQpYGLTvLts2c0=","343UxILoFBK8etG7N8iSPxMC6DaRZQpYGLTvLts2c0=","343UxILoFBK8etG7N8iSPxMC6DaRZQpYGLTvLts2c0=","Nuevo León","Rockero de tradición. #Geek de nacimiento. (cuerpo de tentación y cara de arrepentimiento jaj a)","","12","31","2016-04-19","es","es","RT @AsustameTu: ¿Y tú a quién criticas? #NETAS https://t.co/4NK9XOAlpb","2016-04-27 22:59","TweetDeck","","","","True","+zuazml9qplj0Mugk44btp2onOmiPb7c3cVG3FIM1zw=","7.254588095445443e+17","absent","absent","0","0","0","0","['NETAS']","[]","['+zuazml9qplj0Mugk44btp2onOmiPb7c3cVG3FIM1zw=']"
"725459457098964993","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","","","","22","32","2016-04-14","es","es","RT @AsustameTu: ¿Y tú a quién criticas? #NETAS https://t.co/4NK9XOAlpb","2016-04-27 22:59","TweetDeck","","","","True","+zuazml9qplj0Mugk44btp2onOmiPb7c3cVG3FIM1zw=","7.254588095445443e+17","absent","absent","0","0","0","0","['NETAS']","[]","['+zuazml9qplj0Mugk44btp2onOmiPb7c3cVG3FIM1zw=']"
"725459458374004736","Osite9Tezkj4MrpFUFmdPWD2Gx0GanTqriSOzxKysM4=","Osite9Tezkj4MrpFUFmdPWD2Gx0GanTqriSOzxKysM4=","Osite9Tezkj4MrpFUFmdPWD2Gx0GanTqriSOzxKysM4=","","","","13","37","2016-04-19","es","es","RT @AsustameTu: ¿Y tú a quién criticas? #NETAS https://t.co/4NK9XOAlpb","2016-04-27 22:59","TweetDeck","","","","True","+zuazml9qplj0Mugk44btp2onOmiPb7c3cVG3FIM1zw=","7.254588095445443e+17","absent","absent","0","0","0","0","['NETAS']","[]","['+zuazml9qplj0Mugk44btp2onOmiPb7c3cVG3FIM1zw=']"
"738396927461462016","FW1LsxEKLrsL7ibwVZfMufwkwO1RHOPhddPgR3GehtQ=","FW1LsxEKLrsL7ibwVZfMufwkwO1RHOPhddPgR3GehtQ=","FW1LsxEKLrsL7ibwVZfMufwkwO1RHOPhddPgR3GehtQ=","Cancun","Sobreviviente del AH1N1. Premio nacional de periodismo de la universidad del MAYAB, 2007®. #Ecología #sustentabilidad","","21","25","2016-04-18","es","es","RT @TipsDeGolf: .@gruposalinas le arrebata torneo de golf a @realDonaldTrump y su nueva sede será en el Club de Golf Chapultepec. https://t…","2016-06-02 15:48","TweetDeck","","","","True","CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=","7.383968001266196e+17","absent","absent","0","0","0","0","[]","[]","['CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=', '219452444', '25073877']"
"738396929004994561","AXwpM5Ys2Ir50DCfQOCt2Z0OmHI4sZbSb5yQ4xO6zY=","AXwpM5Ys2Ir50DCfQOCt2Z0OmHI4sZbSb5yQ4xO6zY=","AXwpM5Ys2Ir50DCfQOCt2Z0OmHI4sZbSb5yQ4xO6zY=","Mexico, MD","Analizamos la corrupción a modo, elegimos los temas a conveniencia para buscar cómo atacar a los enemigos de @ClaudioXGG.","","12","20","2016-04-19","es","es","RT @TipsDeGolf: .@gruposalinas le arrebata torneo de golf a @realDonaldTrump y su nueva sede será en el Club de Golf Chapultepec. https://t…","2016-06-02 15:48","TweetDeck","","","","True","CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=","7.383968001266196e+17","absent","absent","0","0","0","0","[]","[]","['CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=', '219452444', '25073877']"
"738396926341570560","Osite9Tezkj4MrpFUFmdPWD2Gx0GanTqriSOzxKysM4=","Osite9Tezkj4MrpFUFmdPWD2Gx0GanTqriSOzxKysM4=","Osite9Tezkj4MrpFUFmdPWD2Gx0GanTqriSOzxKysM4=","","","","13","37","2016-04-19","es","es","RT @TipsDeGolf: .@gruposalinas le arrebata torneo de golf a @realDonaldTrump y su nueva sede será en el Club de Golf Chapultepec. https://t…","2016-06-02 15:48","TweetDeck","","","","True","CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=","7.383968001266196e+17","absent","absent","0","0","0","0","[]","[]","['CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=', '219452444', '25073877']"
"738396927742513152","S0qs+5scsUjty9QuxSJwbmzhHBA7l6vANjlO9e5ktcY=","S0qs+5scsUjty9QuxSJwbmzhHBA7l6vANjlO9e5ktcY=","S0qs+5scsUjty9QuxSJwbmzhHBA7l6vANjlO9e5ktcY=","","Los hombres incapaces de pensar por sí mismos, no piensan en absoluto. -Óscar Wilde","","22","40","2016-04-18","es","es","RT @TipsDeGolf: .@gruposalinas le arrebata torneo de golf a @realDonaldTrump y su nueva sede será en el Club de Golf Chapultepec. https://t…","2016-06-02 15:48","TweetDeck","","","","True","CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=","7.383968001266196e+17","absent","absent","0","0","0","0","[]","[]","['CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=', '219452444', '25073877']"
"738396929260851201","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","QkiqB2Jqu3X3W1rLhe+VxR2YPFLA8E7cu+NnQAFrM0=","","","","22","32","2016-04-14","es","es","RT @TipsDeGolf: .@gruposalinas le arrebata torneo de golf a @realDonaldTrump y su nueva sede será en el Club de Golf Chapultepec. https://t…","2016-06-02 15:48","TweetDeck","","","","True","CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=","7.383968001266196e+17","absent","absent","0","0","0","0","[]","[]","['CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=', '219452444', '25073877']"
"738396927725735937","343UxILoFBK8etG7N8iSPxMC6DaRZQpYGLTvLts2c0=","343UxILoFBK8etG7N8iSPxMC6DaRZQpYGLTvLts2c0=","343UxILoFBK8etG7N8iSPxMC6DaRZQpYGLTvLts2c0=","Nuevo León","Rockero de tradición. #Geek de nacimiento. (cuerpo de tentación y cara de arrepentimiento jaj a)","","12","31","2016-04-19","es","es","RT @TipsDeGolf: .@gruposalinas le arrebata torneo de golf a @realDonaldTrump y su nueva sede será en el Club de Golf Chapultepec. https://t…","2016-06-02 15:48","TweetDeck","","","","True","CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=","7.383968001266196e+17","absent","absent","0","0","0","0","[]","[]","['CgVKd5SbrDNZzfFI8ZBo15REji3XI1vSxcUy5UpzNbA=', '219452444', '25073877']"
"725459901019881472","VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=","VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=","VQSCQEwwxFx+q254G2eNa3DsVLtiUbFHcfEAc32PM=","Ciudad Juarez","No estoy aqui para tener amigos, estoy aqui para tener complices y unirnos en la misma lucha #todosunidos #seamosuno #pueblunido","","16","40","2016-04-18","es","es","RT @ChilangoCom: ¿Te atreves a ir a un festival swinger? Si solo tienes curiosidad de qué va, acá te contamos https://t.co/G7kzaEoszN https…","2016-04-27 23:01","TweetDeck","","","","True","","7.254596803157524e+17","absent","absent","0","0","0","0","[]","['http://ow.ly/4napga']","['20458105']"
