"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"1064175579631706113","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Johannesburg","","","142","630","2012-04-12","en","en","@Cisco is on its way to impact one billion people by 2025 with their support to the Anudip foundation. By empowering youth and women with digital training, these opportunities are creating better lives in India. https://t.co/EfFSoXytOH","2018-11-18 15:16","Global Citizen Mobile App","15749983.0","","","False","","","absent","absent","0","0","0","0","[]","['https://glblctzn.me/CiscoAnudip']","['15749983']"
"1064410190353743872","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Johannesburg","","","142","630","2012-04-12","en","en","Every student deserves an education! Syrian Refugees in Lebanon are getting better access thanks to @HP, the Clooney Foundation for Justice, @UNICEF &amp; @googleorg. https://t.co/jT82n4gh0D","2018-11-19 06:48","Global Citizen Mobile App","","","","False","","","absent","absent","0","0","0","0","[]","[]","['17193794', '33933259', '2499289070']"
"1074586643598901248","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","South Africa","African news portal specializing in noteworthy incidents, traffic accidents, political agenda etc.","https://t.co/x05eQ973N2","1038","846","2018-12-14","en","en","Two arrested in Limpopo https://t.co/ru6dRnve4E","2018-12-17 08:46","Twitter Web Client","","","","False","","","absent","absent","0","0","0","0","[]","['https://livereport.co.za/2018/12/17/two-arrested-in-limpopo/']","[]"
"1064174904763957250","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Johannesburg","","","142","630","2012-04-12","en","en","Wow! This @Verizon Pioneer of Humanability is using the power of technology to fight food waste &amp; hunger. https://t.co/XD7Rq7KY6s","2018-11-18 15:14","Global Citizen Mobile App","","","","False","","","absent","absent","0","0","0","0","[]","['https://glblctzn.me/FoodPioneer']","['59889953']"
"1065500800909279233","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Johannesburg","","","142","630","2012-04-12","en","en","FACT: More than 50% of the population of people living with HIV are women. Join me, @glblctzn, and @JNJCares by sharing this video to #makeHIVhistory! https://t.co/AWrjWoH2q6","2018-11-22 07:02","Global Citizen Mobile App","","","","False","","","absent","absent","0","0","0","1","['makeHIVhistory']","[]","['596893898', '138845026']"
"1077925560842665984","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","South Africa","African news portal specializing in noteworthy incidents, traffic accidents, political agenda etc.","https://t.co/x05eQ973N2","1038","846","2018-12-14","en","en","Father and his son killed 42 goats 
https://t.co/Gv2csdfOAA","2018-12-26 13:54","Twitter Web Client","","","","False","","","absent","absent","0","0","0","0","[]","['https://livereport.co.za/2018/12/26/father-and-his-son-killed-42-goats/']","[]"
"1077527214021885952","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","South Africa","African news portal specializing in noteworthy incidents, traffic accidents, political agenda etc.","https://t.co/x05eQ973N2","1038","846","2018-12-14","en","en","Be careful on the roads on the threshold holidays 
https://t.co/XpfO9xhq3m","2018-12-25 11:31","Twitter Web Client","","","","False","","","absent","absent","0","0","0","0","[]","['https://livereport.co.za/2018/12/24/be-careful-on-the-roads-on-the-threshold-holidays/']","[]"
"1078939380788670464","xdTTUzdeLSBb0X5fVt9ayB7hocjAE6tIuLXGYNJ8nvI=","xdTTUzdeLSBb0X5fVt9ayB7hocjAE6tIuLXGYNJ8nvI=","xdTTUzdeLSBb0X5fVt9ayB7hocjAE6tIuLXGYNJ8nvI=","South Africa","News portal releasing current social, political, sport and cultural agenda in the south of Africa. Macroregional and essential world news.","https://t.co/w6QHvdBCtA","1994","897","2018-12-15","en","en","Authorities: Well-coordinated operation prevented collapse of dam walls in Benoni
https://t.co/2rph3R42xC","2018-12-29 09:02","Twitter Web Client","","","","False","","","absent","absent","0","0","0","0","[]","['https://sadcnews.org/2018/12/28/authorities-well-coordinated-operation-prevented-collapse-of-dam-walls-in-benoni/']","[]"
"1077844397981646848","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","South Africa","African news portal specializing in noteworthy incidents, traffic accidents, political agenda etc.","https://t.co/x05eQ973N2","1038","846","2018-12-14","en","en","Rustenburg accident 
https://t.co/1Qjjw4eITM","2018-12-26 08:31","Twitter Web Client","","","","False","","","absent","absent","0","0","0","0","[]","['https://livereport.co.za/2018/12/26/rustenburg-accident/']","[]"
"1064410165703790592","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Johannesburg","","","142","630","2012-04-12","en","en",".@CyrilRamaphosa @tito_mboweni Thanks for supporting menstrual health &amp; sanitation. Pls join us at @GlblCtzn Festival: Mandela 100 to announce budget plans for free sanitary towels in no-fee schools. Pls make sure this comes with good menstrual health education for girls &amp; boys.","2018-11-19 06:48","Global Citizen Mobile App","","","","False","","","absent","absent","0","0","0","0","[]","[]","['2987156301', '855262092', '596893898']"
