"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"dpXEw7pSfhBxf+Ru8mpZRLzUJegnrKYkI8GIuDWYBc=","dpXEw7pSfhBxf+Ru8mpZRLzUJegnrKYkI8GIuDWYBc=","dpXEw7pSfhBxf+Ru8mpZRLzUJegnrKYkI8GIuDWYBc=","Москва, Россия","Клуб «Валдай» учрежден для диалога между российской и международной интеллектуальной элитой по актуальным вопросам. English version: @ValdaiClub #Валдай #Valdai","https://t.co/VLPQ9hgymP","1818","85","2016-04-05","ru"
"v3Q6FsacaNTtwPxgfRy8kWE0bOmwYrSeCEfHqSHXhfA=","v3Q6FsacaNTtwPxgfRy8kWE0bOmwYrSeCEfHqSHXhfA=","v3Q6FsacaNTtwPxgfRy8kWE0bOmwYrSeCEfHqSHXhfA=","Moscow - Washington","America-Russia: from confrontation to alliance","http://t.co/QEZ2D7Y0","214","87","2011-09-23","ru"
"ozvlKf3gKdjRpRsLe3aR0AEZO+ut6IZNwt5ok89eM4=","ozvlKf3gKdjRpRsLe3aR0AEZO+ut6IZNwt5ok89eM4=","ozvlKf3gKdjRpRsLe3aR0AEZO+ut6IZNwt5ok89eM4=","","","","1","12","2016-09-04","ru"
"ajZ5lfUkJ4gXdZXwY+XHSKUE7ISUKvGcdbUC7mW04=","ajZ5lfUkJ4gXdZXwY+XHSKUE7ISUKvGcdbUC7mW04=","ajZ5lfUkJ4gXdZXwY+XHSKUE7ISUKvGcdbUC7mW04=","","","","6","29","2011-09-30","ru"
"53159149","Valdai Club","ValdaiClub","Moscow, Russia","The Valdai Discussion Club provides a global forum for the world’s leading and best-informed experts","http://t.co/lHUwkbLc2w","11542","184","2009-07-02","en"
"a4rk1TB9XtjJyWI3FLSjDNPL8jHpQgZqzpsAZBp+FI=","a4rk1TB9XtjJyWI3FLSjDNPL8jHpQgZqzpsAZBp+FI=","a4rk1TB9XtjJyWI3FLSjDNPL8jHpQgZqzpsAZBp+FI=","","","","3","9","2016-05-22","en"
"UkHTwBAY0wQGShUqGiTcKVLTZRX9lJBnFWCeELx33nc=","UkHTwBAY0wQGShUqGiTcKVLTZRX9lJBnFWCeELx33nc=","UkHTwBAY0wQGShUqGiTcKVLTZRX9lJBnFWCeELx33nc=","","military (ret), freelance writer, international affairs, military issues, war and conflict","","21","318","2020-09-27","en"
"31oxxNtP2VrM9ikKG3whNZjg9B4iE0sRtOakzh28qOU=","31oxxNtP2VrM9ikKG3whNZjg9B4iE0sRtOakzh28qOU=","31oxxNtP2VrM9ikKG3whNZjg9B4iE0sRtOakzh28qOU=","","Проектирую будущее, пишу стихи и аналитику, интересуюсь политикой, Россией, Украиной, геополитикой, СМИ, люблю хорошие новости, кино, Пелевина.","","34","163","2014-02-16","ru"
"uqyBajgI70Y4eIp7bV2CLijqtEqc5+kivHt7MKmJo6I=","uqyBajgI70Y4eIp7bV2CLijqtEqc5+kivHt7MKmJo6I=","uqyBajgI70Y4eIp7bV2CLijqtEqc5+kivHt7MKmJo6I=","","Pic is with Delcy❤️. Chavista, Kirchnerista, Left-Wing populist. Socialism of the 21st century! For a Socialist USA! Hijo de Chávez. Dakotah Lilly NewSchool2016","","2470","2642","2012-11-22","en"
"rTCAUwmHdTM3nbVdi3UxadgtI9jVgP13frMjsIAM=","rTCAUwmHdTM3nbVdi3UxadgtI9jVgP13frMjsIAM=","rTCAUwmHdTM3nbVdi3UxadgtI9jVgP13frMjsIAM=","Moscow","Meme expert, political scientist.","https://t.co/ODyDRRwoDq","15","31","2020-10-19","ru"
