"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"345250921502093312","dNmHNq1VWA2HyF7g2246AsCZU5RKtwuhy1pYieDONA=","dNmHNq1VWA2HyF7g2246AsCZU5RKtwuhy1pYieDONA=","dNmHNq1VWA2HyF7g2246AsCZU5RKtwuhy1pYieDONA=","Kampala-Uganda","Seniou journalist, Radio and Tv personality @256 Uganda +256779870413","","885","2162","2012-12-04","en","en","RT @mehtaf19: The most beautiful thing a woman can ever wear, is confidence.","2013-06-13 18:46","web","","","","True","","3.2764437555749274e+17","absent","absent","0","0","0","0","","","['1202944416']"
"413344445656866816","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@tobylanzer hi, well done sir. Is the figures of those seeking refuge still at 10k?Dickens @ChimpReports Kampala","2013-12-18 16:26","web","48784644.0","","","False","","","absent","absent","0","0","0","0","","","['48784644', '388368711']"
"413354268834287616","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@tobylanzer it true Ban is getting to Juba?","2013-12-18 17:05","web","48784644.0","4.1335330667771494e+17","","False","","","absent","absent","0","0","0","0","","","['48784644']"
"413705472483422208","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@Sudhirntv @ntvuganda @dailynation Good news I think. IGAD foreign ministers has landed in Juba.","2013-12-19 16:20","web","405407038.0","4.137038649744671e+17","","False","","","absent","absent","0","0","0","0","","","['405407038', '109220563', '25979455']"
"415849247313903616","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@fsnakazibwe yeah hot as usual dear","2013-12-25 14:19","web","1348657873.0","4.1583346636713984e+17","","False","","","absent","absent","0","0","0","0","","","['1348657873']"
"415737494487830528","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@Ruthaine Nonsensical propaganda, ignorance and madness.","2013-12-25 06:55","web","92246136.0","4.157260473682002e+17","","False","","","absent","absent","0","0","0","0","","","['92246136']"
"414717935177846785","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@howden_africa so sad, Jonglei now?","2013-12-22 11:23","web","87174862.0","4.147104352803512e+17","","False","","","absent","absent","0","0","0","0","","","['87174862']"
"415373351431835648","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@NDOCKenya @kdfinfo The foodstuffs be taken where? Juba or Jonglei and what type of food","2013-12-24 06:48","web","289277091.0","4.153660553481462e+17","","False","","","absent","absent","0","0","0","0","","","['289277091', '821062382']"
"411480255644196864","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","RTJBYFlD2HhtankbDEQYjPfq+LsrTHqgVdRxSJuw=","Kampala","Writer, content developer, ardent media monitor. #Journalist @ChimpReports","https://t.co/A7YCKjca3L","1142","1928","2013-08-12","en","en","@AmamaMbabazi Gen Sejusa &amp; colleagues are launching anti Kampala regime group tomorrow in London. Your comment?","2013-12-13 12:58","web","65587488.0","","","False","","","absent","absent","0","0","0","0","","","['65587488']"
"343782438734016513","dNmHNq1VWA2HyF7g2246AsCZU5RKtwuhy1pYieDONA=","dNmHNq1VWA2HyF7g2246AsCZU5RKtwuhy1pYieDONA=","dNmHNq1VWA2HyF7g2246AsCZU5RKtwuhy1pYieDONA=","Kampala-Uganda","Seniou journalist, Radio and Tv personality @256 Uganda +256779870413","","885","2162","2012-12-04","en","en","STATE OF THE NATION 2013 (UGANDA) http://t.co/cruhMJcHkS via @wordpressdotcom","2013-06-09 17:31","tweetbutton","","","","False","","","absent","absent","0","0","0","0","","['http://wp.me/p2ZcAh-O']","['823905']"
